day,hour,spends,transactions,items
2010-01-01,9,41.99,1,5
2010-01-01,10,4.77,1,3
2010-01-01,11,281.79000000000025,3,83
2010-01-01,13,26.07,2,8
2010-01-01,14,34.4,1,9
2010-01-01,15,16.75,1,3
2010-01-01,17,17.15,3,7
2010-01-01,19,3.37,1,1
2010-01-01,20,52.400000000000006,1,17
2010-01-01,21,19.86,2,6
2010-01-02,11,25.419999999999998,2,6
2010-01-02,12,36.230000000000004,2,14
2010-01-02,13,134.55999999999997,3,43
2010-01-02,15,196.06000000000006,3,23
2010-01-02,16,103.20999999999997,2,35
2010-01-02,17,79.13,2,22
2010-01-02,18,41.540000000000006,2,9
2010-01-02,20,3.6300000000000003,1,2
2010-01-03,9,390.5699999999999,3,83
2010-01-03,10,7.970000000000001,1,3
2010-01-03,11,186.34000000000012,2,43
2010-01-03,12,173.60000000000002,3,44
2010-01-03,13,412.21000000000015,8,134
2010-01-03,14,182.22000000000008,4,50
2010-01-03,15,6.98,1,2
2010-01-03,16,122.86999999999998,3,42
2010-01-03,17,160.61000000000004,3,53
2010-01-03,18,63.94,1,26
2010-01-03,19,47.500000000000014,1,15
2010-01-03,20,4.65,1,2
2010-01-04,12,7.73,1,3
2010-01-04,13,119.53999999999998,2,21
2010-01-04,14,60.760000000000005,1,9
2010-01-04,16,99.88,2,33
2010-01-04,17,111.63999999999997,3,36
2010-01-04,19,13.25,1,4
2010-01-04,20,91.32999999999997,2,23
2010-01-04,21,74.92999999999998,2,25
2010-01-05,9,116.95999999999994,1,19
2010-01-05,11,33.53,1,10
2010-01-05,12,147.08999999999997,3,37
2010-01-05,13,272.49000000000007,3,49
2010-01-05,15,18.46,1,3
2010-01-05,17,111.17999999999996,3,33
2010-01-05,19,39.26,2,10
2010-01-05,20,75.02000000000001,2,14
2010-01-05,21,44.41,1,22
2010-01-05,22,39.580000000000005,1,7
2010-01-06,11,19.93,1,6
2010-01-06,12,87.42999999999998,3,30
2010-01-06,13,31.190000000000005,1,9
2010-01-06,14,74.68999999999998,4,10
2010-01-06,15,177.6100000000001,2,40
2010-01-06,16,44.74,2,11
2010-01-06,17,8.52,2,6
2010-01-06,18,232.13000000000008,3,56
2010-01-06,19,140.54,3,44
2010-01-06,20,17.689999999999998,1,8
2010-01-06,21,77.57,2,15
2010-01-07,10,25.800000000000004,2,10
2010-01-07,11,72.54,1,17
2010-01-07,12,76.75999999999999,2,12
2010-01-07,14,184.6800000000001,2,54
2010-01-07,15,125.05999999999999,1,28
2010-01-07,16,30.619999999999997,1,13
2010-01-07,17,9.17,1,3
2010-01-07,21,14.440000000000001,1,6
2010-01-08,9,16.76,1,6
2010-01-08,11,119.40999999999994,4,38
2010-01-08,12,46.099999999999994,2,12
2010-01-08,13,45.03,2,6
2010-01-08,14,39.28000000000001,1,11
2010-01-08,17,16.439999999999998,1,8
2010-01-08,19,109.72999999999998,1,28
2010-01-09,9,98.43999999999998,1,10
2010-01-09,10,77.61000000000003,2,31
2010-01-09,11,136.58999999999995,2,42
2010-01-09,14,258.09000000000003,2,65
2010-01-09,15,76.13999999999999,2,29
2010-01-09,16,241.59000000000006,3,57
2010-01-09,17,514.8800000000001,7,115
2010-01-09,18,201.98,3,59
2010-01-10,9,61.79,1,12
2010-01-10,10,196.33000000000013,3,52
2010-01-10,11,333.66000000000014,4,86
2010-01-10,12,119.30999999999996,2,31
2010-01-10,13,122.95999999999998,3,32
2010-01-10,14,42.620000000000005,1,12
2010-01-10,15,82.71,2,26
2010-01-10,16,11.79,1,1
2010-01-10,17,35.970000000000006,2,17
2010-01-10,20,84.05999999999997,2,31
2010-01-11,10,199.34,3,54
2010-01-11,12,123.48999999999994,3,43
2010-01-11,13,265.76,4,85
